tradeDate,netValue
2022-01-04,1.0
2022-01-05,1.0
2022-01-06,1.0
2022-01-07,1.0046419999999998
2022-01-10,1.0031670000000001
2022-01-11,1.002375
2022-01-12,1.0106030000000001
2022-01-13,1.0116329999999998
2022-01-14,1.0106572450000002
2022-01-17,1.010042764
2022-01-18,1.020391154
2022-01-19,1.025187375
2022-01-20,1.028494193
2022-01-21,1.0248676159999999
2022-01-24,1.0252062811999998
2022-01-25,1.0125333511999997
2022-01-26,1.0215533883999999
2022-01-27,1.0210191236
2022-01-28,1.0238049088
2022-02-07,1.0455263968
2022-02-08,1.0448511984
2022-02-09,1.0393996255999998
2022-02-10,1.045592992
2022-02-11,1.037006
2022-02-14,1.0433569999999999
2022-02-15,1.041422
2022-02-16,1.0373
2022-02-17,1.036237
2022-02-18,1.0402462156
2022-02-21,1.0415776912
2022-02-22,1.0479038746
2022-02-23,1.045072846
2022-02-24,1.057723081
2022-02-25,1.04742784
2022-02-28,1.048605784
2022-03-01,1.051356264
2022-03-02,1.063675392
2022-03-03,1.077322952
2022-03-04,1.0699290000000001
2022-03-07,1.085115
2022-03-08,1.092907
2022-03-09,1.094551
2022-03-10,1.0753670000000002
2022-03-11,1.059949
2022-03-14,1.055343
2022-03-15,1.0472530000000002
2022-03-16,1.053221
2022-03-17,1.0516770000000002
2022-03-18,1.059483
2022-03-21,1.0598130000000001
2022-03-22,1.064335
2022-03-23,1.063483
2022-03-24,1.066899
2022-03-25,1.0665385722
2022-03-28,1.0623663252000002
2022-03-29,1.0629513132
2022-03-30,1.063080098
2022-03-31,1.0606385338000002
2022-04-01,1.0537238928000001
2022-04-06,1.0510346554
2022-04-07,1.045677909
2022-04-08,1.0463481127999998
2022-04-11,1.039684589
2022-04-12,1.0356333817999999
2022-04-13,1.0379279368
2022-04-14,1.042214714
2022-04-15,1.037413696
2022-04-18,1.0329181696
2022-04-19,1.03694668
2022-04-20,1.0338956652
2022-04-21,1.0324284611999999
2022-04-22,1.0276090949999999
2022-04-25,1.0035296414
2022-04-26,1.0052225068
2022-04-27,1.0101354772
2022-04-28,1.0134986616
2022-04-29,1.019479
2022-05-05,1.02065
2022-05-06,1.014882
2022-05-09,1.009063
2022-05-10,1.004467
2022-05-11,1.005898
2022-05-12,1.003346
2022-05-13,1.0149009999999998
2022-05-16,1.019998
2022-05-17,1.02605
2022-05-18,1.0238819999999997
2022-05-19,1.0189369999999998
2022-05-20,1.02225009
2022-05-23,1.02155017
2022-05-24,1.01443938
2022-05-25,1.01816895
2022-05-26,1.01931434
2022-05-27,1.026041
2022-05-30,1.027053
2022-05-31,1.032758
2022-06-01,1.027494
2022-06-02,1.02558
2022-06-06,1.037004
2022-06-07,1.0348789999999999
2022-06-08,1.04004
2022-06-09,1.03779
2022-06-10,1.0427
2022-06-13,1.0389519999999999
2022-06-14,1.041409
2022-06-15,1.037164
2022-06-16,1.0341989999999999
2022-06-17,1.0346769999999998
2022-06-20,1.0297759999999998
2022-06-21,1.032144
2022-06-22,1.0218669999999999
2022-06-23,1.0289469999999998
2022-06-24,1.0350041432
2022-06-27,1.0428961195999997
2022-06-28,1.0487769344
2022-06-29,1.0373726516
2022-06-30,1.0376419579999998
2022-07-01,1.0363091748
2022-07-04,1.0392883287999997
2022-07-05,1.0374524827999998
2022-07-06,1.0293150511999998
2022-07-07,1.0325770207999998
2022-07-08,1.0316494316
2022-07-11,1.0208284853999998
2022-07-12,1.0176932948
2022-07-13,1.0191458147999999
2022-07-14,1.0195258228
2022-07-15,1.0121348325999997
2022-07-18,1.0272421215999996
2022-07-19,1.0246956207999998
2022-07-20,1.0373535987999998
2022-07-21,1.0337684565999998
2022-07-22,1.0365264924999995
2022-07-25,1.0348983033999997
2022-07-26,1.0387698030999994
2022-07-27,1.0408167022999997
2022-07-28,1.0484546759999998
2022-07-29,1.0580893223999996
2022-08-01,1.0626989225999997
2022-08-02,1.0569114489999998
2022-08-03,1.0521514489999997
2022-08-04,1.0583323656999997
2022-08-05,1.0626264617999999
2022-08-08,1.0604400304
2022-08-09,1.0567794301999998
2022-08-10,1.0530113543999995
2022-08-11,1.0676960825999997
2022-08-12,1.0689095631999996
2022-08-15,1.0723540319999998
2022-08-16,1.0761448663999995
2022-08-17,1.0763099239999996
2022-08-18,1.0704655815999995
2022-08-19,1.0664933855999996
2022-08-22,1.0626291263999996
2022-08-23,1.0582139559999997
2022-08-24,1.0509750927999997
2022-08-25,1.0555021023999995
2022-08-26,1.0537588919999996
2022-08-29,1.0417100011999996
2022-08-30,1.0384141489999996
2022-08-31,1.0352190621999997
2022-09-01,1.0265436669999997
2022-09-02,1.0273227553999995
2022-09-05,1.0357365869999995
2022-09-06,1.0368490099999996
2022-09-07,1.0329518539999996
2022-09-08,1.0266280861999995
2022-09-09,1.0342409919999997
2022-09-13,1.0471855399999996
2022-09-14,1.0423491159999996
2022-09-15,1.0416300039999997
2022-09-16,1.0299840517999996
2022-09-19,1.0284990517999997
2022-09-20,1.0299326283999999
2022-09-21,1.0369894389999998
2022-09-22,1.0387881325999997
2022-09-23,1.0316331233999998
2022-09-26,1.0209129409999997
2022-09-27,1.0259220017999995
2022-09-28,1.0226781719999996
2022-09-29,1.030439403
2022-09-30,1.0279711127999998
2022-10-10,1.0301131247999997
2022-10-11,1.0270071247999997
2022-10-12,1.0281033717999997
2022-10-13,1.0246590259999997
2022-10-14,1.0336589999999997
2022-10-17,1.0248419999999996
2022-10-18,1.0230329999999996
2022-10-19,1.0193189999999996
2022-10-20,1.0236989999999997
2022-10-21,1.021803852
2022-10-24,1.0214280159999998
2022-10-25,1.0185103603999999
2022-10-26,1.0285873599999997
2022-10-27,1.031631606
2022-10-28,1.0243631359999998
2022-10-31,1.0351526384
2022-11-01,1.0402827935999999
2022-11-02,1.0420765384
2022-11-03,1.0387268336
2022-11-04,1.0367955199999999
2022-11-07,1.0392232271999997
2022-11-08,1.0462401375999997
2022-11-09,1.0421766415999998
2022-11-10,1.0367489263999998
2022-11-11,1.0503209999999998
2022-11-14,1.046943
2022-11-15,1.0467
2022-11-16,1.049205
2022-11-17,1.0526099999999998
2022-11-18,1.0412868939999995
2022-11-21,1.0366120815999997
2022-11-22,1.0318655703999995
2022-11-23,1.0330984395999996
2022-11-24,1.0336954963999996
2022-11-25,1.0326246675999997
2022-11-28,1.0297958243999996
2022-11-29,1.0354110779999997
2022-11-30,1.0360592819999996
2022-12-01,1.0447752715999996
2022-12-02,1.0394652387999999
2022-12-05,1.0494468529999998
2022-12-06,1.0436259553999998
2022-12-07,1.0393258471999998
2022-12-08,1.0427616189999998
2022-12-09,1.0487653859999997
2022-12-12,1.0372058459999998
2022-12-13,1.0383565755999997
2022-12-14,1.0368611767999998
2022-12-15,1.0320223908
2022-12-16,1.0324774231999998
2022-12-19,1.0273429223999997
2022-12-20,1.0248356079999998
2022-12-21,1.0282154831999997
2022-12-22,1.0361859239999998
2022-12-23,1.0340649103999997
2022-12-26,1.0373831247999996
2022-12-27,1.0448222367999997
2022-12-28,1.0446784815999997
2022-12-29,1.0445596143999998
2022-12-30,1.0510677775999997
2023-01-03,1.0510677775999997
2023-01-04,1.0510677775999997
2023-01-05,1.0510677775999997
2023-01-06,1.0470425916218182
2023-01-09,1.0560446264105012
2023-01-10,1.0525751719187972
2023-01-11,1.054547785653045
2023-01-12,1.0567529763017032
2023-01-13,1.0605615960707167
2023-01-16,1.0629329029364993
2023-01-17,1.0634927865611254
2023-01-18,1.0682309223235307
2023-01-19,1.072905736297461
2023-01-20,1.08250963099439
2023-01-30,1.0942434270937866
2023-01-31,1.0776103467816045
2023-02-01,1.0916881921958939
2023-02-02,1.093998948728717
2023-02-03,1.0893513292416104
2023-02-06,1.0901693351421273
2023-02-07,1.0857097331816403
2023-02-08,1.082856202095261
2023-02-09,1.089864250317079
2023-02-10,1.0864372862913527
2023-02-13,1.0878382015582995
2023-02-14,1.0968235462315283
2023-02-15,1.1007912446882546
2023-02-16,1.102915864685353
2023-02-17,1.0854048484798968
2023-02-20,1.0997191454648518
2023-02-21,1.0965194243947778
2023-02-22,1.0911471899528242
2023-02-23,1.0899874720377725
2023-02-24,1.0936796948793863
2023-02-27,1.084190483448952
2023-02-28,1.0918065205654417
2023-03-01,1.0955774658610347
2023-03-02,1.0911552520631056
2023-03-03,1.0937884274205518
2023-03-06,1.1013350940637197
2023-03-07,1.1011858424393006
2023-03-08,1.0879003457304366
2023-03-09,1.0870069381194767
2023-03-10,1.0807930254183056
2023-03-13,1.0955111275080383
2023-03-14,1.089456977109062
2023-03-15,1.0910094042165774
2023-03-16,1.0844927839954575
2023-03-17,1.0965874209123008
2023-03-20,1.0983038145931214
2023-03-21,1.0961711980723712
2023-03-22,1.0907319223232912
2023-03-23,1.1020887096602592
2023-03-24,1.1117036018895592
2023-03-27,1.1168073364430267
2023-03-28,1.109832137873102
2023-03-29,1.1125160268303906
2023-03-30,1.114510615448878
2023-03-31,1.1262653706806143
2023-04-03,1.1281762119002912
2023-04-04,1.1280353688180926
2023-04-06,1.1285640559102257
2023-04-07,1.1330090215416961
2023-04-10,1.1206232388504578
2023-04-11,1.1210993725537104
2023-04-12,1.1242620354965087
2023-04-13,1.1170317402543986
2023-04-14,1.119032727773516
2023-04-17,1.120516968330454
2023-04-18,1.1184461024620647
2023-04-19,1.1175800226133223
2023-04-20,1.1178607888832004
2023-04-21,1.1135586608401433
2023-04-24,1.1209278029765286
2023-04-25,1.1325318519060417
2023-04-26,1.126933816152999
2023-04-27,1.1232643838242204
2023-04-28,1.1318553745941278
2023-05-04,1.1317324803861537
2023-05-05,1.129523024924881
2023-05-08,1.1369731699118968
2023-05-09,1.1385846418028862
2023-05-10,1.1377742685463565
2023-05-11,1.1396149320726587
2023-05-12,1.1376230249382853
2023-05-15,1.1415424566809556
2023-05-16,1.1391836276714018
2023-05-17,1.1369560627327482
2023-05-18,1.1435472969941187
2023-05-19,1.1446661216457885
2023-05-22,1.1475668181374061
2023-05-23,1.1520540770545389
2023-05-24,1.1473655966769372
2023-05-25,1.144576896922575
2023-05-26,1.141244683293582
2023-05-29,1.1501301164068622
2023-05-30,1.15659149124431
2023-05-31,1.1456064678415605
2023-06-01,1.1548403480014802
2023-06-02,1.16067900890512
2023-06-05,1.1687701757449211
2023-06-06,1.1629096225709692
2023-06-07,1.1698148210779729
2023-06-08,1.1642938262806795
2023-06-09,1.171323012106146
2023-06-12,1.1787740593297418
2023-06-13,1.1932201131261713
2023-06-14,1.1931416677336577
2023-06-15,1.1898952569716217
2023-06-16,1.2020025521079238
