method,training_period,holding_period,code,eligible,posterior_mean_sharpe,observations,posterior_standard_error,rank,group,selected
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159766.SZ,True,-0.22823776896001532,5.0,0.33087916550037466,36,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,516150.SH,True,-0.2841983530914063,5.0,0.33087916550037466,37,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159870.SZ,True,-0.31888946620766406,6.0,0.3020499712550673,38,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,515880.SH,True,-0.42370527605918046,4.0,0.3699341531986205,39,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512800.SH,True,-0.5924576731017098,3.0,0.42716316586331965,40,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,518880.SH,True,-0.7739094123166813,14.0,0.19773812241936875,41,commodity,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510180.SH,True,-0.8560978935328796,4.0,0.3699341531986205,42,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,510500.SH,True,-0.9416849495333046,1.0,0.739868306397241,43,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159825.SZ,True,-1.0328951492070937,3.0,0.42716316586331965,44,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512400.SH,True,-1.0791623985898466,3.0,0.42716316586331965,45,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,512200.SH,True,-1.1214549906010782,3.0,0.42716316586331965,46,a_share,False
rolling_thompson_sampling,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159901.SZ,True,-1.3809150180987266,1.0,0.739868306397241,47,a_share,False
