method,training_year,holding_year,evaluation,codes,sharpe,maximum_within_group_correlation,phase,locked_count
rolling_sequential_forward,2021,2022,1,159865.SZ|159901.SZ|159920.SZ|159980.SZ|159985.SZ|501018.SH|513030.SH|513080.SH|513180.SH|513500.SH|513880.SH|515210.SH|518880.SH,-0.04141558142205041,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,2,159869.SZ|159920.SZ|159949.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|512660.SH|513030.SH|513100.SH|513180.SH,0.5792789991411761,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,3,159920.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|501018.SH|510180.SH|512800.SH|512880.SH|513030.SH|513100.SH|513180.SH|513500.SH,0.4639849103247611,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,4,159825.SZ|159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|164824.SZ|512040.SH|512400.SH|513080.SH|513180.SH|513880.SH|518880.SH,-0.4830060470827395,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,5,159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|510210.SH|512100.SH|512980.SH|513030.SH|513080.SH|513180.SH|513500.SH,1.3954882682134913,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,6,159870.SZ|159920.SZ|159967.SZ|159981.SZ|159985.SZ|161226.SZ|164824.SZ|510880.SH|513030.SH|513080.SH|513180.SH|513880.SH|518880.SH,-0.24604472652473744,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,7,159920.SZ|159980.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|512200.SH|513180.SH|513500.SH|513880.SH|515210.SH|518880.SH|588000.SH,0.3759751358098472,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,8,159869.SZ|159920.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|512980.SH|513030.SH|513180.SH|513880.SH|515220.SH|518880.SH,-0.5120980498510609,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,9,159920.SZ|159980.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|510180.SH|513080.SH|513180.SH|513880.SH|515880.SH|516150.SH|518880.SH,0.14992775701918234,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,10,159852.SZ|159920.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|513030.SH|513080.SH|513100.SH|513180.SH|515210.SH|518880.SH|588000.SH,-0.7684624636808436,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,11,159920.SZ|159928.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|512200.SH|512400.SH|513030.SH|513180.SH|513500.SH,0.33345553737924344,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,12,159852.SZ|159920.SZ|159980.SZ|159981.SZ|161226.SZ|164824.SZ|513030.SH|513080.SH|513100.SH|513180.SH|515220.SH|518880.SH|588000.SH,0.2038216108056168,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,13,159825.SZ|159852.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|510180.SH|513080.SH|513100.SH|513180.SH|513500.SH,0.2047927948590405,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,14,159920.SZ|159928.SZ|159980.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|512800.SH|513100.SH|513180.SH|513880.SH|516150.SH,-0.30047909498608455,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,15,159920.SZ|159980.SZ|159981.SZ|159985.SZ|161226.SZ|164824.SZ|510180.SH|510500.SH|513030.SH|513080.SH|513180.SH|513500.SH|516150.SH,-0.2294158582879856,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,16,159869.SZ|159870.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|513030.SH|513100.SH|513180.SH|513500.SH|515210.SH,0.90369039351012,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,17,159870.SZ|159915.SZ|159920.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|513030.SH|513180.SH|513880.SH|515880.SH|518880.SH,-0.2769895943956601,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,18,159920.SZ|159928.SZ|159980.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|510210.SH|512100.SH|513030.SH|513180.SH|513500.SH|513880.SH,0.8441350599837124,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,19,159870.SZ|159920.SZ|159967.SZ|159980.SZ|159981.SZ|161226.SZ|164824.SZ|501018.SH|512400.SH|513030.SH|513080.SH|513180.SH|513500.SH,0.4887972347938275,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,20,159869.SZ|159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|510050.SH|512880.SH|513100.SH|513180.SH|513880.SH,0.5390819970945087,0.910284859375849,warmup,
rolling_sequential_forward,2021,2022,21,159869.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|510210.SH|510300.SH|513100.SH|513180.SH|513500.SH,1.3800948140125016,0.910284859375849,forward,1.0
rolling_sequential_forward,2021,2022,22,159920.SZ|159980.SZ|159981.SZ|161226.SZ|164824.SZ|510050.SH|510210.SH|513030.SH|513180.SH|513500.SH|513880.SH|516150.SH|518880.SH,-0.46826829626507127,0.910284859375849,forward,1.0
rolling_sequential_forward,2021,2022,23,159852.SZ|159920.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|510210.SH|512040.SH|513030.SH|513100.SH|513180.SH|518880.SH,0.33554384631897155,0.910284859375849,forward,1.0
rolling_sequential_forward,2021,2022,24,159920.SZ|159980.SZ|159985.SZ|160644.SZ|501018.SH|510050.SH|510210.SH|512980.SH|513030.SH|513180.SH|513500.SH|513880.SH|518880.SH,-0.36476004317280664,0.910284859375849,forward,1.0
rolling_sequential_forward,2021,2022,25,159920.SZ|159980.SZ|159985.SZ|164824.SZ|501018.SH|510210.SH|512890.SH|513080.SH|513100.SH|513180.SH|513500.SH|515790.SH|518880.SH,1.124354329588412,0.910284859375849,forward,1.0
rolling_sequential_forward,2021,2022,26,159920.SZ|159980.SZ|159981.SZ|161226.SZ|164824.SZ|510210.SH|510300.SH|512800.SH|513030.SH|513180.SH|513500.SH|513880.SH|518880.SH,-0.6300533709832217,0.910284859375849,forward,2.0
rolling_sequential_forward,2021,2022,27,159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|501018.SH|510210.SH|510300.SH|512100.SH|513030.SH|513100.SH|513180.SH|513500.SH,0.6876460057198431,0.910284859375849,forward,2.0
rolling_sequential_forward,2021,2022,28,159920.SZ|159980.SZ|159985.SZ|164824.SZ|501018.SH|510210.SH|510300.SH|513030.SH|513080.SH|513180.SH|513880.SH|516150.SH|518880.SH,-0.08899725814282047,0.910284859375849,forward,2.0
rolling_sequential_forward,2021,2022,29,159869.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|510210.SH|510300.SH|513030.SH|513080.SH|513180.SH,0.18106790797546288,0.910284859375849,forward,2.0
rolling_sequential_forward,2021,2022,30,159920.SZ|159980.SZ|159985.SZ|501018.SH|510210.SH|510300.SH|512660.SH|513030.SH|513080.SH|513100.SH|513180.SH|513500.SH|518880.SH,-0.005135209580293131,0.910284859375849,forward,2.0
rolling_sequential_forward,2021,2022,31,159920.SZ|159980.SZ|159981.SZ|160644.SZ|164824.SZ|501018.SH|510210.SH|510300.SH|512890.SH|513030.SH|513180.SH|513500.SH|518880.SH,0.6210957672986007,0.910284859375849,forward,3.0
rolling_sequential_forward,2021,2022,32,159920.SZ|159980.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|510210.SH|510300.SH|512890.SH|513100.SH|513180.SH|513880.SH|518880.SH,0.2686691795684338,0.910284859375849,forward,3.0
rolling_sequential_forward,2021,2022,33,159920.SZ|159985.SZ|161226.SZ|164824.SZ|501018.SH|510210.SH|510300.SH|512890.SH|513030.SH|513080.SH|513180.SH|513500.SH|518880.SH,-0.07210182756037847,0.910284859375849,forward,3.0
rolling_sequential_forward,2021,2022,34,159920.SZ|159980.SZ|159981.SZ|501018.SH|510210.SH|510300.SH|512890.SH|513030.SH|513080.SH|513100.SH|513180.SH|513500.SH|518880.SH,0.5590639975266343,0.910284859375849,forward,3.0
rolling_sequential_forward,2021,2022,35,159920.SZ|159980.SZ|159981.SZ|160644.SZ|501018.SH|510210.SH|510300.SH|512890.SH|513080.SH|513100.SH|513180.SH|513500.SH|518880.SH,0.6581909413808855,0.910284859375849,forward,3.0
rolling_sequential_forward,2021,2022,36,159920.SZ|159980.SZ|159985.SZ|164824.SZ|501018.SH|510210.SH|510300.SH|512890.SH|513030.SH|513080.SH|513180.SH|513880.SH|518880.SH,-0.29189806565054127,0.910284859375849,forward,4.0
rolling_sequential_forward,2021,2022,37,159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|510210.SH|510300.SH|512890.SH|513080.SH|513180.SH|513880.SH,0.2168179664182319,0.910284859375849,forward,4.0
rolling_sequential_forward,2021,2022,38,159920.SZ|159980.SZ|159981.SZ|160644.SZ|501018.SH|510210.SH|510300.SH|512890.SH|513080.SH|513100.SH|513180.SH|513880.SH|518880.SH,0.33486992859432396,0.910284859375849,forward,4.0
rolling_sequential_forward,2021,2022,39,159920.SZ|159980.SZ|159981.SZ|160644.SZ|164824.SZ|501018.SH|510210.SH|510300.SH|512890.SH|513080.SH|513180.SH|513500.SH|518880.SH,0.7563348091715602,0.910284859375849,forward,4.0
rolling_sequential_forward,2021,2022,40,159920.SZ|159980.SZ|159981.SZ|160644.SZ|161226.SZ|501018.SH|510210.SH|510300.SH|512890.SH|513100.SH|513180.SH|513500.SH|513880.SH,0.875796380802188,0.910284859375849,forward,4.0
rolling_sequential_forward,2021,2022,41,159920.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|510210.SH|510300.SH|512890.SH|513030.SH|513180.SH|513500.SH|518880.SH,-0.0672535964798855,0.910284859375849,forward,5.0
rolling_sequential_forward,2021,2022,42,159920.SZ|159981.SZ|159985.SZ|161226.SZ|164824.SZ|501018.SH|510210.SH|510300.SH|512890.SH|513030.SH|513180.SH|513500.SH|513880.SH,0.27784532699181547,0.910284859375849,forward,5.0
rolling_sequential_forward,2021,2022,43,159920.SZ|159985.SZ|160644.SZ|161226.SZ|501018.SH|510210.SH|510300.SH|512890.SH|513030.SH|513080.SH|513180.SH|513500.SH|518880.SH,-0.41250718079959536,0.910284859375849,forward,5.0
