method,training_year,holding_year,code,eligible,estimated_contribution,locked,lock_order,rank,group,selected
rolling_sequential_forward,2021,2022,501018.SH,True,0.752859646190207,True,4.0,1,commodity,True
rolling_sequential_forward,2021,2022,515790.SH,True,0.6723426923890895,False,,2,a_share,True
rolling_sequential_forward,2021,2022,513500.SH,True,0.5639540891192919,True,5.0,3,global,True
rolling_sequential_forward,2021,2022,513100.SH,True,0.5339864175276754,True,6.0,4,global,True
rolling_sequential_forward,2021,2022,512100.SH,True,0.5330117324905177,False,,5,a_share,True
rolling_sequential_forward,2021,2022,159981.SZ,True,0.5305766394884458,True,7.0,6,commodity,True
rolling_sequential_forward,2021,2022,510210.SH,True,0.4656054335848021,True,1.0,7,a_share,True
rolling_sequential_forward,2021,2022,512890.SH,True,0.42018747843551507,True,3.0,8,a_share,False
rolling_sequential_forward,2021,2022,510300.SH,True,0.37051827959343464,True,2.0,9,a_share,False
rolling_sequential_forward,2021,2022,159980.SZ,True,0.13091938161778133,False,,10,commodity,True
rolling_sequential_forward,2021,2022,159949.SZ,True,0.1217615505231946,False,,11,a_share,False
rolling_sequential_forward,2021,2022,159869.SZ,True,0.05650809878429569,False,,12,a_share,False
rolling_sequential_forward,2021,2022,512880.SH,True,0.04367182610859338,False,,13,a_share,False
rolling_sequential_forward,2021,2022,160644.SZ,True,0.03574969568541447,False,,14,global,True
rolling_sequential_forward,2021,2022,164824.SZ,True,-0.04791698358431368,False,,15,global,True
rolling_sequential_forward,2021,2022,159985.SZ,True,-0.0652934437842716,False,,16,commodity,True
rolling_sequential_forward,2021,2022,513080.SH,True,-0.10002557369885401,False,,17,global,False
rolling_sequential_forward,2021,2022,512200.SH,True,-0.10614257911088576,False,,18,a_share,False
rolling_sequential_forward,2021,2022,159928.SZ,True,-0.17150985910404432,False,,19,a_share,False
rolling_sequential_forward,2021,2022,512660.SH,True,-0.17516649932935907,False,,20,a_share,False
rolling_sequential_forward,2021,2022,159870.SZ,True,-0.25142889299721455,False,,21,a_share,False
rolling_sequential_forward,2021,2022,161226.SZ,True,-0.26840150525600026,False,,22,commodity,False
rolling_sequential_forward,2021,2022,513030.SH,True,-0.2824900390505066,False,,23,global,False
rolling_sequential_forward,2021,2022,512980.SH,True,-0.29469931861856236,False,,24,a_share,False
rolling_sequential_forward,2021,2022,510180.SH,True,-0.3243881907754832,False,,25,a_share,False
rolling_sequential_forward,2021,2022,513880.SH,True,-0.3348501863060598,False,,26,global,False
rolling_sequential_forward,2021,2022,159967.SZ,True,-0.3442436836619065,False,,27,a_share,False
rolling_sequential_forward,2021,2022,515210.SH,True,-0.3555085344468178,False,,28,a_share,False
rolling_sequential_forward,2021,2022,512400.SH,True,-0.35634311590354256,False,,29,a_share,False
rolling_sequential_forward,2021,2022,518880.SH,True,-0.4808572467387601,False,,30,commodity,False
rolling_sequential_forward,2021,2022,159852.SZ,True,-0.484178246924497,False,,31,a_share,False
rolling_sequential_forward,2021,2022,159865.SZ,True,-0.5052026722679432,False,,32,a_share,False
rolling_sequential_forward,2021,2022,159901.SZ,True,-0.5052026722679432,False,,33,a_share,False
rolling_sequential_forward,2021,2022,515880.SH,True,-0.5329244722565839,False,,34,a_share,False
rolling_sequential_forward,2021,2022,588000.SH,True,-0.5377563262663299,False,,35,a_share,False
rolling_sequential_forward,2021,2022,512040.SH,True,-0.5433328209235688,False,,36,a_share,False
rolling_sequential_forward,2021,2022,510050.SH,True,-0.5739352352965669,False,,37,a_share,False
rolling_sequential_forward,2021,2022,159825.SZ,True,-0.6100425410561865,False,,38,a_share,False
rolling_sequential_forward,2021,2022,515220.SH,True,-0.625380901679526,False,,39,a_share,False
rolling_sequential_forward,2021,2022,512800.SH,True,-0.6332483670151839,False,,40,a_share,False
rolling_sequential_forward,2021,2022,516150.SH,True,-0.6801911729008097,False,,41,a_share,False
rolling_sequential_forward,2021,2022,510500.SH,True,-0.6951019418294939,False,,42,a_share,False
rolling_sequential_forward,2021,2022,510880.SH,True,-0.7118987784322736,False,,43,a_share,False
rolling_sequential_forward,2021,2022,159915.SZ,True,-0.7431562207261349,False,,44,a_share,False
rolling_sequential_forward,2021,2022,159851.SZ,True,,False,,45,a_share,False
rolling_sequential_forward,2021,2022,159920.SZ,True,,False,,46,hong_kong,True
rolling_sequential_forward,2021,2022,512170.SH,True,,False,,47,a_share,False
rolling_sequential_forward,2021,2022,513180.SH,True,,False,,48,hong_kong,True
rolling_sequential_forward,2021,2022,159201.SZ,False,,False,,,a_share,False
rolling_sequential_forward,2021,2022,159206.SZ,False,,False,,,a_share,False
rolling_sequential_forward,2021,2022,159209.SZ,False,,False,,,a_share,False
rolling_sequential_forward,2021,2022,159326.SZ,False,,False,,,a_share,False
rolling_sequential_forward,2021,2022,159329.SZ,False,,False,,,global,False
rolling_sequential_forward,2021,2022,159509.SZ,False,,False,,,global,False
rolling_sequential_forward,2021,2022,159518.SZ,False,,False,,,global,False
rolling_sequential_forward,2021,2022,159529.SZ,False,,False,,,global,False
rolling_sequential_forward,2021,2022,159611.SZ,False,,False,,,a_share,False
rolling_sequential_forward,2021,2022,159687.SZ,False,,False,,,global,False
rolling_sequential_forward,2021,2022,159766.SZ,False,,False,,,a_share,False
rolling_sequential_forward,2021,2022,159796.SZ,False,,False,,,a_share,False
rolling_sequential_forward,2021,2022,513070.SH,False,,False,,,hong_kong,False
rolling_sequential_forward,2021,2022,513120.SH,False,,False,,,hong_kong,False
rolling_sequential_forward,2021,2022,513290.SH,False,,False,,,global,False
rolling_sequential_forward,2021,2022,513310.SH,False,,False,,,global,False
rolling_sequential_forward,2021,2022,513400.SH,False,,False,,,global,False
rolling_sequential_forward,2021,2022,513730.SH,False,,False,,,global,False
