method,description,start_date,end_date,trading_days,final_net_value,annual_return,max_drawdown,annual_volatility,sharpe,calmar
rolling_differential_evolution,定长二进制差分进化,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.7916111001825026,0.13671883348180214,0.09601676039892604,0.1076033119076552,0.9118329752854791,1.4239059192766865
rolling_beam_search,同时保留多个高分搜索分支,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.7355377358198723,0.12880318995872408,0.11580551247056192,0.11311810255898731,0.8091828324308126,1.1122371224898833
rolling_sequential_backward,逐步淘汰低贡献代码,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.6897894992740332,0.12219591351964532,0.10025282953617198,0.10543031191906628,0.8025613010414906,1.2188774529855648
rolling_thompson_sampling,按代码表现后验进行 Thompson 抽样,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.6662130924502476,0.11873619222184817,0.08940368338731375,0.10792651629100863,0.7568881415164435,1.3280906079390535
rolling_multi_start_hill,多起点局部爬山搜索,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.6766671174128267,0.12027495122991838,0.11308249665677661,0.11305485096308733,0.74011410662028,1.0636036060909764
rolling_ucb_sampling,用 UCB 平衡代码探索与利用,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.6492934133293282,0.11622969624203261,0.10578533619788832,0.11011872589463641,0.7230663318398869,1.098731642962371
rolling_ridge_surrogate,用岭回归代理模型估计代码边际影响,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.601992454831277,0.109114425759818,0.09480386540182728,0.11014143078610727,0.6628831866269688,1.1509491231959292
rolling_cross_entropy,用精英样本逐批更新代码抽样概率,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.5702880454114998,0.1042529777559722,0.09388339376016797,0.10710037637712429,0.6362459041742583,1.1104517378472076
rolling_sequential_forward,逐步锁定高贡献代码,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.5387526674226377,0.09934087270717984,0.10445018199704903,0.10692892129087803,0.5940375096125089,0.9510837684321742
rolling_tabu_search,使用短期禁忌表的邻域搜索,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.5291133137396988,0.09782373230664732,0.096609537410559,0.10957488554412693,0.5694273349345397,1.0125680644854802
rolling_evolution_strategy,父代加子代精英保留的进化策略,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.529272314103324,0.09784881786277921,0.10427345428411938,0.10967482033208518,0.5691298850238748,0.9383866539624302
rolling_mean_inclusion,按代码所在组合的平均 Sharpe 排名,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.5057265566614648,0.09411162574388876,0.09709099998079795,0.10937474873280756,0.5382569917697688,0.9693135899568607
rolling_simulated_annealing,按降温概率接受短期退步,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.5200575287893585,0.09639162653287636,0.0981026677333281,0.11536072891627012,0.5347876289923738,0.9825586679752395
rolling_shapley,按入选与未入选组合 Sharpe 均值差估计相对贡献,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.4866636469479653,0.0910524044867258,0.09709099998079795,0.10702256546800883,0.5205991084707179,0.9378047862802276
rolling_ant_colony,按高分组合强化代码信息素,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.4804974924837904,0.09005630787658991,0.11216505744305416,0.10939968688006622,0.5030381622292908,0.8028909352835771
rolling_genetic,锦标赛选择、集合交叉和变异,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.38140748596448,0.0735869812186174,0.09692806907475715,0.1083721819064321,0.3617926442458397,0.759191655431229
rolling_random_best,随机组合中选择训练期 Sharpe 最高者,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.3678089797881048,0.07125550318479212,0.14051680688208723,0.11323437835669631,0.33124921272783464,0.507095946498309
rolling_hill_climb,单起点、只接受改进的单代码替换,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.3397328540008837,0.06638401586699638,0.11172306362025675,0.11767703285157524,0.2831947744984481,0.5941836333152626
rolling_elite_frequency,按高分组合中的超额出现频率排名,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.2551833217079917,0.051216012079023265,0.10930987610568277,0.10927003696000887,0.16077237476187872,0.46853965902867456
rolling_particle_swarm,定长二进制粒子群搜索,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.2218217434569325,0.045011133102376366,0.12218191718579563,0.11032914002321588,0.10489583876846564,0.3683943920599175
