method,description,start_date,end_date,trading_days,final_net_value,annual_return,max_drawdown,annual_volatility,sharpe,calmar
rolling_elite_frequency,按高分组合中的超额出现频率排名,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.7678764152591846,0.1333922416450466,0.09104359733359757,0.10800543659199989,0.8809114999957639,1.465146869760398
rolling_mean_inclusion,按代码所在组合的平均 Sharpe 排名,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.7766722759494307,0.1346290877506997,0.09277749187989215,0.11027606958818302,0.8751467385883096,1.45109643538314
rolling_shapley,按入选与未入选组合 Sharpe 均值差估计相对贡献,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.7604661196334874,0.1323464973139299,0.09277749187989226,0.11045898765464461,0.8550464642979981,1.4264935883938619
rolling_ucb_sampling,用 UCB 平衡代码探索与利用,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.7641421871786012,0.13286569404534765,0.12041547958927579,0.11298091805716093,0.8428558304472622,1.1033938036748947
rolling_genetic,锦标赛选择、集合交叉和变异,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.7394595951777492,0.12936326207815885,0.13344758266704193,0.1125154039498148,0.8174575426574692,0.9693938210999771
rolling_differential_evolution,定长二进制差分进化,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.7259257057197532,0.12742632927233943,0.10527696008500043,0.1105615192899667,0.8137840458083786,1.2103914205867614
rolling_hill_climb,单起点、只接受改进的单代码替换,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.6593210762543094,0.11771761095250666,0.10064572355570645,0.1093748864780436,0.7396737561867751,1.1696235745908379
rolling_tabu_search,使用短期禁忌表的邻域搜索,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.5939624122359757,0.10789027478607838,0.1146884377659817,0.10648119563881336,0.6712452083575648,0.9407249491550773
rolling_particle_swarm,定长二进制粒子群搜索,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.6110037869262914,0.11048248297162133,0.16623406817989383,0.11249681601753002,0.6626231342910947,0.6646199794139689
rolling_ant_colony,按高分组合强化代码信息素,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.6058845123723864,0.10970603398179546,0.14529976953201462,0.11379180496808969,0.6501899990396175,0.7550324018760635
rolling_sequential_forward,逐步锁定高贡献代码,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.5503385428841325,0.10115459515418368,0.1265047229130144,0.10711887762504287,0.6091609302197518,0.7996112147033304
rolling_multi_start_hill,多起点局部爬山搜索,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.5407440023124874,0.09965336477687092,0.15276784589294723,0.11098549162946918,0.5788308016581156,0.6523189758576781
rolling_ridge_surrogate,用岭回归代理模型估计代码边际影响,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.5070541160406667,0.09432354500866613,0.14213993320513718,0.11085832693707008,0.5343352379315842,0.6635963791578391
rolling_sequential_backward,逐步淘汰低贡献代码,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.4951142898110854,0.09241232030421309,0.11866449329443873,0.10676781864967919,0.5336685247118871,0.7787697712989269
rolling_beam_search,同时保留多个高分搜索分支,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.4657441954454988,0.08765981730272143,0.1488064617401995,0.10906873278372058,0.48337880262234795,0.5890860939612037
rolling_thompson_sampling,按代码表现后验进行 Thompson 抽样,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.356478493970035,0.06929902700636426,0.1349107045709812,0.1085887585473992,0.32312765923822356,0.5136658890540716
rolling_random_best,随机组合中选择训练期 Sharpe 最高者,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.3460813894850558,0.06749247047624984,0.14765024849316588,0.11593162220489267,0.2950080235432287,0.4571104428542414
rolling_evolution_strategy,父代加子代精英保留的进化策略,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.2708611270053707,0.05408755028008683,0.14655508084548297,0.10682338986090259,0.18826969319605874,0.36905953698809535
rolling_cross_entropy,用精英样本逐批更新代码抽样概率,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.191676811591312,0.03928977064121608,0.150602473608914,0.11120355534920102,0.05397379624072985,0.26088396624376936
rolling_simulated_annealing,按降温概率接受短期退步,2022-01-04T00:00:00,2026-07-24T00:00:00,1103,1.1688615680049173,0.03488399538778442,0.15250784131554207,0.11019358872598996,0.013564619329292276,0.2287357494989957
