method,new_rank,final_net_value_new,annual_return_new,max_drawdown_new,annual_volatility_new,sharpe_new,calmar_new,old_rank,final_net_value_old,annual_return_old,max_drawdown_old,annual_volatility_old,sharpe_old,calmar_old,final_net_value_delta,annual_return_delta,max_drawdown_delta,annual_volatility_delta,sharpe_delta,calmar_delta,rank_change
rolling_differential_evolution,1,1.7916111001825026,0.13671883348180214,0.09601676039892604,0.1076033119076552,0.9118329752854791,1.4239059192766865,15,1.2044364533495775,0.0417251157829892,0.1518596373691527,0.1115552194899098,0.0756569798486416,0.2747610655855868,0.5871746468329251,0.09499371769881293,-0.05584287697022666,-0.00395190758225461,0.8361759954368375,1.1491448536910998,14
rolling_beam_search,2,1.7355377358198723,0.12880318995872408,0.11580551247056192,0.11311810255898731,0.8091828324308126,1.1122371224898833,13,1.2560874748874686,0.0513823744493435,0.22087221305094,0.1136383265487597,0.1601919030271553,0.2326339458440305,0.4794502609324036,0.07742081550938058,-0.10506670058037806,-0.0005202239897723893,0.6489909294036573,0.8796031766458527,11
rolling_sequential_backward,3,1.6897894992740332,0.12219591351964532,0.10025282953617198,0.10543031191906628,0.8025613010414906,1.2188774529855648,14,1.2215268748711852,0.0449557046497886,0.1200578748615959,0.111373296950603,0.1042341133554183,0.3744502782646623,0.46826262440284805,0.07724020886985672,-0.019805045325423917,-0.0059429850315367155,0.6983271876860723,0.8444271747209025,11
rolling_thompson_sampling,4,1.6662130924502476,0.11873619222184817,0.08940368338731375,0.10792651629100863,0.7568881415164435,1.3280906079390535,8,1.31929184130266,0.0627869449430313,0.1231109741457588,0.1133029503909054,0.2586214920405334,0.5100028277632986,0.34692125114758765,0.055949247278816866,-0.03370729075844506,-0.005376434099896771,0.49826664947591004,0.8180877801757549,4
rolling_multi_start_hill,5,1.6766671174128267,0.12027495122991838,0.11308249665677661,0.11305485096308733,0.74011410662028,1.0636036060909764,3,1.43597800122815,0.0827667930278777,0.1260799134677567,0.107742462336558,0.4446118299921278,0.6564629587015399,0.2406891161846767,0.037508158202040676,-0.0129974168109801,0.00531238862652933,0.2955022766281522,0.40714064738943645,-2
rolling_ucb_sampling,6,1.6492934133293282,0.11622969624203261,0.10578533619788832,0.11011872589463641,0.7230663318398869,1.098731642962371,11,1.28494325380633,0.0566433568359983,0.1444420468081133,0.10913866979239,0.2093630504399655,0.3921528259098072,0.3643501595229983,0.05958633940603431,-0.038656710610224965,0.0009800561022464127,0.5137032813999214,0.7065788170525638,5
rolling_ridge_surrogate,7,1.601992454831277,0.109114425759818,0.09480386540182728,0.11014143078610727,0.6628831866269688,1.1509491231959292,10,1.2879187699433832,0.0571805928261797,0.1217709088230912,0.1123589058296538,0.2112571986508876,0.4695751504101169,0.3140736848878938,0.0519338329336383,-0.026967043421263923,-0.002217475043546524,0.45162598797608117,0.6813739727858124,3
rolling_cross_entropy,8,1.5702880454114998,0.1042529777559722,0.09388339376016797,0.10710037637712429,0.6362459041742583,1.1104517378472076,18,1.1554272538149333,0.0322582617819222,0.1821875109134587,0.1094560473260343,-0.0111412241431892,0.177060774474521,0.4148607915965665,0.07199471597405,-0.08830411715329073,-0.0023556709489100103,0.6473871283174475,0.9333909633726867,10
rolling_sequential_forward,9,1.5387526674226377,0.09934087270717984,0.10445018199704903,0.10692892129087803,0.5940375096125089,0.9510837684321742,9,1.3067910117096375,0.0605656514830184,0.1346478326711658,0.1096243618835985,0.2438973771539456,0.4498078452620219,0.2319616557130002,0.03877522122416144,-0.030197650674116783,-0.002695440592720477,0.3501401324585633,0.5012759231701523,0
rolling_tabu_search,10,1.5291133137396988,0.09782373230664732,0.096609537410559,0.10957488554412693,0.5694273349345397,1.0125680644854802,1,1.4691999694860205,0.0882228471844794,0.1385020645168918,0.108522698968524,0.4900947660353655,0.6369785713462758,0.059913344253678336,0.009600885122167918,-0.04189252710633279,0.001052186575602937,0.07933256889917417,0.3755894931392044,-9
rolling_evolution_strategy,11,1.529272314103324,0.09784881786277921,0.10427345428411938,0.10967482033208518,0.5691298850238748,0.9383866539624302,2,1.4681630190400534,0.0880540112706371,0.1049956727673071,0.1146965113915696,0.468544833972275,0.8386441931353084,0.06110929506327056,0.009794806592142116,-0.0007222184831877226,-0.005021691059484412,0.10058505105159987,0.09974246082712179,-9
rolling_mean_inclusion,12,1.5057265566614648,0.09411162574388876,0.09709099998079795,0.10937474873280756,0.5382569917697688,0.9693135899568607,6,1.3492586222438816,0.0680456846357722,0.1450235248697788,0.1092626516931205,0.3107173329791733,0.4692044597376359,0.15646793441758322,0.026065941108116567,-0.04793252488898084,0.00011209703968706464,0.2275396587905955,0.5001091302192248,-6
rolling_simulated_annealing,13,1.5200575287893585,0.09639162653287636,0.0981026677333281,0.11536072891627012,0.5347876289923738,0.9825586679752395,7,1.3339434833498816,0.0653696130024734,0.1298464309164047,0.1165435591078655,0.2762722377341466,0.5034378884434529,0.18611404543947696,0.03102201353040296,-0.03174376318307659,-0.0011828301915953743,0.25851539125822715,0.47912077953178656,-6
rolling_shapley,14,1.4866636469479653,0.0910524044867258,0.09709099998079795,0.10702256546800883,0.5205991084707179,0.9378047862802276,5,1.3560516492885493,0.0692250733346466,0.1450235248697787,0.1092310260555201,0.3212076610822736,0.477336855498486,0.130611997659416,0.021827331152079202,-0.047932524888980754,-0.002208460587511271,0.19939144738844428,0.4604679307817416,-9
rolling_ant_colony,15,1.4804974924837904,0.09005630787658991,0.11216505744305416,0.10939968688006622,0.5030381622292908,0.8028909352835771,4,1.3895509898422185,0.0749746332621101,0.1225580174969994,0.1119818901141348,0.3654660245625147,0.6117480911760486,0.09094650264157189,0.015081674614479817,-0.010392960053945244,-0.002582203234068575,0.13757213766677606,0.19114284410752858,-11
rolling_genetic,16,1.38140748596448,0.0735869812186174,0.09692806907475715,0.1083721819064321,0.3617926442458397,0.759191655431229,20,1.0490876913992482,0.010586789065218,0.1982411310559765,0.1121071042020068,-0.2036808498877735,0.0534035949493684,0.33231979456523186,0.0630001921533994,-0.10131306198121934,-0.0037349222955747052,0.5654734941336131,0.7057880604818606,4
rolling_random_best,17,1.3678089797881048,0.07125550318479212,0.14051680688208723,0.11323437835669631,0.33124921272783464,0.507095946498309,17,1.1941827029359586,0.0397696529174025,0.1559033256045954,0.1127950150669251,0.0587754186750219,0.2550917548626704,0.17362627685214616,0.03148585026738963,-0.01538651872250818,0.0004393632897712052,0.27247379405281275,0.25200419163563864,0
