method,training_year,holding_year,code,eligible,shapley_score,included_count,excluded_count,included_mean_sharpe,excluded_mean_sharpe,contribution,standard_error,rank,group,selected
rolling_shapley,2021,2022,512100.SH,True,0.6754432498216423,6,94,0.9358591909955402,0.2604159411738978,0.6754432498216423,0.23969179281575084,1,a_share,True
rolling_shapley,2021,2022,501018.SH,True,0.5518006718652075,67,33,0.4830367578787148,-0.06876391398649276,0.5518006718652075,0.09245349839583282,2,commodity,True
rolling_shapley,2021,2022,159981.SZ,True,0.33242596923701984,70,30,0.40067032693430227,0.06824435769728246,0.33242596923701984,0.10805945429096601,3,commodity,True
rolling_shapley,2021,2022,512660.SH,True,0.2916074388327862,8,92,0.5692213798893597,0.2776139410565735,0.2916074388327862,0.1300781099498047,4,a_share,True
rolling_shapley,2021,2022,510210.SH,True,0.29065030720015755,18,82,0.5392757880673256,0.248625480867168,0.29065030720015755,0.14624626780284491,5,a_share,True
rolling_shapley,2021,2022,512040.SH,True,0.26797827415485065,11,89,0.5394432001610134,0.2714649260061628,0.26797827415485065,0.17752868723344883,6,a_share,False
rolling_shapley,2021,2022,510880.SH,True,0.21634775996520722,8,92,0.499982475331187,0.2836347153659798,0.21634775996520722,0.1602891254408393,7,a_share,False
rolling_shapley,2021,2022,159949.SZ,True,0.2160896898602075,3,97,0.5105495353275976,0.2944598454673901,0.2160896898602075,0.30900747903156867,8,a_share,False
rolling_shapley,2021,2022,588000.SH,True,0.21544429411381516,15,85,0.48407018615993924,0.2686258920461241,0.21544429411381516,0.1583160354896665,9,a_share,False
rolling_shapley,2021,2022,515880.SH,True,0.19111943153933447,10,90,0.47295002454859736,0.2818305930092629,0.19111943153933447,0.19847554586901497,10,a_share,False
rolling_shapley,2021,2022,513500.SH,True,0.18868374000753074,64,36,0.36886868256590744,0.1801849425583767,0.18868374000753074,0.11052774972359929,11,global,True
rolling_shapley,2021,2022,159851.SZ,True,0.14767517910703126,5,95,0.44123395631487605,0.2935587772078448,0.14767517910703126,0.1848400937523697,12,a_share,False
rolling_shapley,2021,2022,513100.SH,True,0.10008035420257205,47,53,0.3539851238905596,0.25390476968798753,0.10008035420257205,0.10348612148737553,13,global,True
rolling_shapley,2021,2022,510050.SH,True,0.09360984930338867,6,94,0.3889357945083817,0.29532594520499306,0.09360984930338867,0.14821592470610503,14,a_share,False
