training_year,holding_year,code,eligible,shapley_score,standard_error,included_mean_sharpe,excluded_mean_sharpe,included_count,excluded_count,rank,selected
2019,2020,563300.SH,False,,,,,0,100,,False
2019,2020,588000.SH,False,,,,,0,100,,False
2019,2020,588200.SH,False,,,,,0,100,,False
2019,2020,588220.SH,False,,,,,0,100,,False
2020,2021,513100.SH,True,0.48246673724203903,0.05831574636888191,1.3633181396670184,0.8808514024249794,35,65,1,True
2020,2021,510300.SH,True,0.16048654700459042,0.07237262574998227,1.1444018231924014,0.9839152761878109,41,59,2,True
2020,2021,159949.SZ,True,0.1537921626857276,0.07160524441706444,1.143527979697987,0.9897358170122593,39,61,3,True
2020,2021,159985.SZ,True,0.15032015345576255,0.07877658483902608,1.150429263275054,1.0001091098192914,33,67,4,True
2020,2021,159920.SZ,True,0.1316140463786607,0.07166399601859694,1.129999328750676,0.9983852823720153,39,61,5,True
2020,2021,164824.SZ,True,0.10273787836188375,0.07412935422948073,1.1154670026112985,1.0127291242494147,36,64,6,True
2020,2021,159981.SZ,True,0.08441755388479999,0.07528081334433828,1.107962872640205,1.023545318755405,31,69,7,True
2020,2021,159967.SZ,True,0.07101989933562836,0.07181326635585264,1.09232670006107,1.0213068007254416,40,60,8,True
2020,2021,512040.SH,True,0.05925131799161698,0.07000269955524666,1.08882063033416,1.0295693123425431,34,66,9,True
2020,2021,510880.SH,True,0.05853395623483548,0.07874636385480586,1.0883471715746844,1.029813215339849,34,66,10,True
2020,2021,160644.SZ,True,0.057160701439226136,0.06596504437269397,1.0862976093807977,1.0291369079415715,36,64,11,True
2020,2021,513880.SH,True,0.04726840978990987,0.07440022002093102,1.0780758063336389,1.030807396543729,40,60,12,True
2020,2021,518880.SH,True,0.04475752448220627,0.0706013972689442,1.0774644256386607,1.0327069011564545,38,62,13,True
2020,2021,510500.SH,True,0.03540428685993513,0.07309374058171504,1.0702492468384552,1.03484495997852,42,58,14,True
2020,2021,513030.SH,True,0.03454332248934189,0.07432148014399076,1.0697498875035112,1.0352065650141693,42,58,15,True
2020,2021,515220.SH,True,0.026167496067015295,0.07877536807163417,1.0659386080212423,1.039771111954227,38,62,16,False
2020,2021,159915.SZ,True,0.023092034181000587,0.0710689132273914,1.0612607775501932,1.0381687433691926,50,50,17,False
2020,2021,159980.SZ,True,0.019999369881392726,0.07286562752582301,1.0615143886897147,1.041515018808322,41,59,18,False
2020,2021,512100.SH,True,-0.008141091333162542,0.07060739131627439,1.0454813929664484,1.053622484299611,48,52,19,False
2020,2021,510180.SH,True,-0.023198587899772694,0.07033407462253281,1.0353316359618339,1.0585302238616066,38,62,20,False
2020,2021,512980.SH,True,-0.027097676815996286,0.07894374640793589,1.0323722472974552,1.0594699241134515,36,64,21,False
2020,2021,501018.SH,True,-0.03498737409728769,0.06908528620531848,1.0294220834832661,1.0644094575805538,42,58,22,False
