method,training_period,holding_period,rank,code,group
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,3,159852.SZ,a_share
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,4,159901.SZ,a_share
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,5,159920.SZ,hong_kong
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,6,159985.SZ,commodity
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,7,161226.SZ,commodity
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,8,501018.SH,commodity
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,9,512800.SH,a_share
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,10,513100.SH,global
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,11,513500.SH,global
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,12,513750.SH,hong_kong
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,13,518880.SH,commodity
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,1,159529.SZ,global
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,2,159851.SZ,a_share
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,3,159981.SZ,commodity
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,4,159985.SZ,commodity
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,5,501018.SH,commodity
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,6,512200.SH,a_share
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,7,512880.SH,a_share
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,8,513100.SH,global
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,9,513180.SH,hong_kong
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,10,513400.SH,global
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,11,513730.SH,global
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,12,513750.SH,hong_kong
rolling_shapley,2024-07-01/2024-12-31,2025-01-01/2025-06-30,13,518880.SH,commodity
rolling_shapley,2025-01-01/2025-06-30,2025-07-01/2025-12-31,1,159206.SZ,a_share
rolling_shapley,2025-01-01/2025-06-30,2025-07-01/2025-12-31,2,159529.SZ,global
rolling_shapley,2025-01-01/2025-06-30,2025-07-01/2025-12-31,3,159869.SZ,a_share
rolling_shapley,2025-01-01/2025-06-30,2025-07-01/2025-12-31,4,159980.SZ,commodity
rolling_shapley,2025-01-01/2025-06-30,2025-07-01/2025-12-31,5,159981.SZ,commodity
rolling_shapley,2025-01-01/2025-06-30,2025-07-01/2025-12-31,6,161226.SZ,commodity
rolling_shapley,2025-01-01/2025-06-30,2025-07-01/2025-12-31,7,164824.SZ,global
rolling_shapley,2025-01-01/2025-06-30,2025-07-01/2025-12-31,8,512890.SH,a_share
rolling_shapley,2025-01-01/2025-06-30,2025-07-01/2025-12-31,9,513030.SH,global
rolling_shapley,2025-01-01/2025-06-30,2025-07-01/2025-12-31,10,513070.SH,hong_kong
rolling_shapley,2025-01-01/2025-06-30,2025-07-01/2025-12-31,11,513310.SH,global
rolling_shapley,2025-01-01/2025-06-30,2025-07-01/2025-12-31,12,513750.SH,hong_kong
rolling_shapley,2025-01-01/2025-06-30,2025-07-01/2025-12-31,13,518880.SH,commodity
rolling_shapley,2025-07-01/2025-12-31,2026-01-01/2026-06-30,1,159206.SZ,a_share
rolling_shapley,2025-07-01/2025-12-31,2026-01-01/2026-06-30,2,159509.SZ,global
rolling_shapley,2025-07-01/2025-12-31,2026-01-01/2026-06-30,3,159529.SZ,global
rolling_shapley,2025-07-01/2025-12-31,2026-01-01/2026-06-30,4,159920.SZ,hong_kong
rolling_shapley,2025-07-01/2025-12-31,2026-01-01/2026-06-30,5,159980.SZ,commodity
rolling_shapley,2025-07-01/2025-12-31,2026-01-01/2026-06-30,6,159985.SZ,commodity
rolling_shapley,2025-07-01/2025-12-31,2026-01-01/2026-06-30,7,161226.SZ,commodity
rolling_shapley,2025-07-01/2025-12-31,2026-01-01/2026-06-30,8,512660.SH,a_share
rolling_shapley,2025-07-01/2025-12-31,2026-01-01/2026-06-30,9,513030.SH,global
