method,training_period,holding_period,rank,code,group
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,1,159920.SZ,hong_kong
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,2,159980.SZ,commodity
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,3,159981.SZ,commodity
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,4,160644.SZ,global
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,5,164824.SZ,global
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,6,501018.SH,commodity
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,7,510210.SH,a_share
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,8,510300.SH,a_share
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,9,512890.SH,a_share
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,10,513100.SH,global
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,11,513180.SH,hong_kong
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,12,513500.SH,global
rolling_sequential_forward,2021-07-01/2021-12-31,2022-01-01/2022-06-30,13,518880.SH,commodity
rolling_sequential_forward,2022-01-01/2022-06-30,2022-07-01/2022-12-31,1,159852.SZ,a_share
rolling_sequential_forward,2022-01-01/2022-06-30,2022-07-01/2022-12-31,2,159920.SZ,hong_kong
rolling_sequential_forward,2022-01-01/2022-06-30,2022-07-01/2022-12-31,3,159980.SZ,commodity
rolling_sequential_forward,2022-01-01/2022-06-30,2022-07-01/2022-12-31,4,159981.SZ,commodity
rolling_sequential_forward,2022-01-01/2022-06-30,2022-07-01/2022-12-31,5,159985.SZ,commodity
rolling_sequential_forward,2022-01-01/2022-06-30,2022-07-01/2022-12-31,6,160644.SZ,global
rolling_sequential_forward,2022-01-01/2022-06-30,2022-07-01/2022-12-31,7,164824.SZ,global
rolling_sequential_forward,2022-01-01/2022-06-30,2022-07-01/2022-12-31,8,501018.SH,commodity
rolling_sequential_forward,2022-01-01/2022-06-30,2022-07-01/2022-12-31,9,510180.SH,a_share
rolling_sequential_forward,2022-01-01/2022-06-30,2022-07-01/2022-12-31,10,513070.SH,hong_kong
rolling_sequential_forward,2022-01-01/2022-06-30,2022-07-01/2022-12-31,11,513080.SH,global
