method,training_period,holding_period,rank,code,group
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,1,159865.SZ,a_share
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,2,159920.SZ,hong_kong
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,3,159980.SZ,commodity
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,4,159981.SZ,commodity
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,5,160644.SZ,global
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,6,161226.SZ,commodity
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,7,164824.SZ,global
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,8,501018.SH,commodity
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,9,513100.SH,global
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,10,513180.SH,hong_kong
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,11,513880.SH,global
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,12,516150.SH,a_share
rolling_simulated_annealing,2021-07-01/2021-12-31,2022-01-01/2022-06-30,13,588000.SH,a_share
rolling_simulated_annealing,2022-01-01/2022-06-30,2022-07-01/2022-12-31,1,159611.SZ,a_share
rolling_simulated_annealing,2022-01-01/2022-06-30,2022-07-01/2022-12-31,2,159796.SZ,a_share
rolling_simulated_annealing,2022-01-01/2022-06-30,2022-07-01/2022-12-31,3,159980.SZ,commodity
rolling_simulated_annealing,2022-01-01/2022-06-30,2022-07-01/2022-12-31,4,159981.SZ,commodity
rolling_simulated_annealing,2022-01-01/2022-06-30,2022-07-01/2022-12-31,5,164824.SZ,global
rolling_simulated_annealing,2022-01-01/2022-06-30,2022-07-01/2022-12-31,6,501018.SH,commodity
rolling_simulated_annealing,2022-01-01/2022-06-30,2022-07-01/2022-12-31,7,513070.SH,hong_kong
rolling_simulated_annealing,2022-01-01/2022-06-30,2022-07-01/2022-12-31,8,513080.SH,global
rolling_simulated_annealing,2022-01-01/2022-06-30,2022-07-01/2022-12-31,9,513180.SH,hong_kong
rolling_simulated_annealing,2022-01-01/2022-06-30,2022-07-01/2022-12-31,10,513500.SH,global
rolling_simulated_annealing,2022-01-01/2022-06-30,2022-07-01/2022-12-31,11,513880.SH,global
rolling_simulated_annealing,2022-01-01/2022-06-30,2022-07-01/2022-12-31,12,518880.SH,commodity
rolling_simulated_annealing,2022-01-01/2022-06-30,2022-07-01/2022-12-31,13,562500.SH,a_share
rolling_simulated_annealing,2022-07-01/2022-12-31,2023-01-01/2023-06-30,1,159928.SZ,a_share
rolling_simulated_annealing,2022-07-01/2022-12-31,2023-01-01/2023-06-30,2,159980.SZ,commodity
rolling_simulated_annealing,2022-07-01/2022-12-31,2023-01-01/2023-06-30,3,159981.SZ,commodity
rolling_simulated_annealing,2022-07-01/2022-12-31,2023-01-01/2023-06-30,4,159985.SZ,commodity
rolling_simulated_annealing,2022-07-01/2022-12-31,2023-01-01/2023-06-30,5,160644.SZ,global
rolling_simulated_annealing,2022-07-01/2022-12-31,2023-01-01/2023-06-30,6,164824.SZ,global
rolling_simulated_annealing,2022-07-01/2022-12-31,2023-01-01/2023-06-30,7,501018.SH,commodity
rolling_simulated_annealing,2022-07-01/2022-12-31,2023-01-01/2023-06-30,8,512170.SH,a_share
rolling_simulated_annealing,2022-07-01/2022-12-31,2023-01-01/2023-06-30,9,512400.SH,a_share
rolling_simulated_annealing,2022-07-01/2022-12-31,2023-01-01/2023-06-30,10,513070.SH,hong_kong
rolling_simulated_annealing,2022-07-01/2022-12-31,2023-01-01/2023-06-30,11,513100.SH,global
rolling_simulated_annealing,2022-07-01/2022-12-31,2023-01-01/2023-06-30,12,513120.SH,hong_kong
rolling_simulated_annealing,2022-07-01/2022-12-31,2023-01-01/2023-06-30,13,513290.SH,global
