method,training_period,holding_period,rank,code,group
rolling_beam_search,2023-07-01/2023-12-31,2024-01-01/2024-06-30,5,159981.SZ,commodity
rolling_beam_search,2023-07-01/2023-12-31,2024-01-01/2024-06-30,6,159985.SZ,commodity
rolling_beam_search,2023-07-01/2023-12-31,2024-01-01/2024-06-30,7,164824.SZ,global
rolling_beam_search,2023-07-01/2023-12-31,2024-01-01/2024-06-30,8,501018.SH,commodity
rolling_beam_search,2023-07-01/2023-12-31,2024-01-01/2024-06-30,9,510180.SH,a_share
rolling_beam_search,2023-07-01/2023-12-31,2024-01-01/2024-06-30,10,513120.SH,hong_kong
rolling_beam_search,2023-07-01/2023-12-31,2024-01-01/2024-06-30,11,513290.SH,global
rolling_beam_search,2023-07-01/2023-12-31,2024-01-01/2024-06-30,12,513310.SH,global
rolling_beam_search,2023-07-01/2023-12-31,2024-01-01/2024-06-30,13,588200.SH,a_share
rolling_beam_search,2024-01-01/2024-06-30,2024-07-01/2024-12-31,1,159509.SZ,global
rolling_beam_search,2024-01-01/2024-06-30,2024-07-01/2024-12-31,2,159920.SZ,hong_kong
rolling_beam_search,2024-01-01/2024-06-30,2024-07-01/2024-12-31,3,159980.SZ,commodity
rolling_beam_search,2024-01-01/2024-06-30,2024-07-01/2024-12-31,4,159985.SZ,commodity
rolling_beam_search,2024-01-01/2024-06-30,2024-07-01/2024-12-31,5,161226.SZ,commodity
rolling_beam_search,2024-01-01/2024-06-30,2024-07-01/2024-12-31,6,164824.SZ,global
rolling_beam_search,2024-01-01/2024-06-30,2024-07-01/2024-12-31,7,501018.SH,commodity
rolling_beam_search,2024-01-01/2024-06-30,2024-07-01/2024-12-31,8,512170.SH,a_share
rolling_beam_search,2024-01-01/2024-06-30,2024-07-01/2024-12-31,9,513500.SH,global
rolling_beam_search,2024-01-01/2024-06-30,2024-07-01/2024-12-31,10,513750.SH,hong_kong
rolling_beam_search,2024-01-01/2024-06-30,2024-07-01/2024-12-31,11,513880.SH,global
rolling_beam_search,2024-01-01/2024-06-30,2024-07-01/2024-12-31,12,563300.SH,a_share
rolling_beam_search,2024-01-01/2024-06-30,2024-07-01/2024-12-31,13,588200.SH,a_share
rolling_beam_search,2024-07-01/2024-12-31,2025-01-01/2025-06-30,1,159851.SZ,a_share
rolling_beam_search,2024-07-01/2024-12-31,2025-01-01/2025-06-30,2,159915.SZ,a_share
rolling_beam_search,2024-07-01/2024-12-31,2025-01-01/2025-06-30,3,159980.SZ,commodity
rolling_beam_search,2024-07-01/2024-12-31,2025-01-01/2025-06-30,4,159981.SZ,commodity
rolling_beam_search,2024-07-01/2024-12-31,2025-01-01/2025-06-30,5,501018.SH,commodity
rolling_beam_search,2024-07-01/2024-12-31,2025-01-01/2025-06-30,6,512040.SH,a_share
rolling_beam_search,2024-07-01/2024-12-31,2025-01-01/2025-06-30,7,513070.SH,hong_kong
rolling_beam_search,2024-07-01/2024-12-31,2025-01-01/2025-06-30,8,513100.SH,global
rolling_beam_search,2024-07-01/2024-12-31,2025-01-01/2025-06-30,9,513120.SH,hong_kong
rolling_beam_search,2024-07-01/2024-12-31,2025-01-01/2025-06-30,10,513290.SH,global
rolling_beam_search,2024-07-01/2024-12-31,2025-01-01/2025-06-30,11,513400.SH,global
rolling_beam_search,2024-07-01/2024-12-31,2025-01-01/2025-06-30,12,513730.SH,global
rolling_beam_search,2024-07-01/2024-12-31,2025-01-01/2025-06-30,13,518880.SH,commodity
rolling_beam_search,2025-01-01/2025-06-30,2025-07-01/2025-12-31,1,159687.SZ,global
rolling_beam_search,2025-01-01/2025-06-30,2025-07-01/2025-12-31,2,159825.SZ,a_share
rolling_beam_search,2025-01-01/2025-06-30,2025-07-01/2025-12-31,3,159981.SZ,commodity
rolling_beam_search,2025-01-01/2025-06-30,2025-07-01/2025-12-31,4,159985.SZ,commodity
rolling_beam_search,2025-01-01/2025-06-30,2025-07-01/2025-12-31,5,161226.SZ,commodity
rolling_beam_search,2025-01-01/2025-06-30,2025-07-01/2025-12-31,6,512980.SH,a_share
rolling_beam_search,2025-01-01/2025-06-30,2025-07-01/2025-12-31,7,513100.SH,global
rolling_beam_search,2025-01-01/2025-06-30,2025-07-01/2025-12-31,8,513120.SH,hong_kong
rolling_beam_search,2025-01-01/2025-06-30,2025-07-01/2025-12-31,9,513290.SH,global
rolling_beam_search,2025-01-01/2025-06-30,2025-07-01/2025-12-31,10,513310.SH,global
rolling_beam_search,2025-01-01/2025-06-30,2025-07-01/2025-12-31,11,513750.SH,hong_kong
rolling_beam_search,2025-01-01/2025-06-30,2025-07-01/2025-12-31,12,515880.SH,a_share
rolling_beam_search,2025-01-01/2025-06-30,2025-07-01/2025-12-31,13,518880.SH,commodity
rolling_beam_search,2025-07-01/2025-12-31,2026-01-01/2026-06-30,1,159509.SZ,global
rolling_beam_search,2025-07-01/2025-12-31,2026-01-01/2026-06-30,2,159981.SZ,commodity
rolling_beam_search,2025-07-01/2025-12-31,2026-01-01/2026-06-30,3,160644.SZ,global
rolling_beam_search,2025-07-01/2025-12-31,2026-01-01/2026-06-30,4,161226.SZ,commodity
rolling_beam_search,2025-07-01/2025-12-31,2026-01-01/2026-06-30,5,501018.SH,commodity
