method,training_period,holding_period,code,eligible,excess_elite_frequency,elite_inclusion_rate,overall_inclusion_rate,rank,group,selected
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513880.SH,True,-0.08999999999999997,0.48,0.57,45,global,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159870.SZ,True,-0.09,0.04,0.13,46,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159967.SZ,True,-0.1,0.04,0.14,47,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159766.SZ,True,-0.11,0.0,0.11,48,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,518880.SH,True,-0.26999999999999996,0.32,0.59,49,commodity,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159201.SZ,False,,,,,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159206.SZ,False,,,,,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159209.SZ,False,,,,,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159326.SZ,False,,,,,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159329.SZ,False,,,,,global,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159509.SZ,False,,,,,global,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159518.SZ,False,,,,,global,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159529.SZ,False,,,,,global,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159611.SZ,False,,,,,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159687.SZ,False,,,,,global,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159796.SZ,False,,,,,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513070.SH,False,,,,,hong_kong,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513120.SH,False,,,,,hong_kong,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513290.SH,False,,,,,global,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513310.SH,False,,,,,global,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513400.SH,False,,,,,global,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513730.SH,False,,,,,global,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513750.SH,False,,,,,hong_kong,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,520870.SH,False,,,,,global,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,562500.SH,False,,,,,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,563300.SH,False,,,,,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,588200.SH,False,,,,,a_share,False
rolling_elite_frequency,2021-07-01/2021-12-31,2022-01-01/2022-06-30,588220.SH,False,,,,,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,501018.SH,True,0.2300000000000001,0.92,0.69,1,commodity,True
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,562500.SH,True,0.2,0.28,0.08,2,a_share,True
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,515790.SH,True,0.13999999999999999,0.24,0.1,3,a_share,True
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513180.SH,True,0.12,0.64,0.52,4,hong_kong,True
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513500.SH,True,0.09000000000000008,0.56,0.47,5,global,True
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159985.SZ,True,0.08999999999999997,0.76,0.67,6,commodity,True
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,515210.SH,True,0.06999999999999999,0.12,0.05,7,a_share,True
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,164824.SZ,True,0.06999999999999995,0.88,0.81,8,global,True
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510210.SH,True,0.06,0.12,0.06,9,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513080.SH,True,0.050000000000000044,0.56,0.51,10,global,True
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,515880.SH,True,0.04999999999999999,0.12,0.07,11,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,160644.SZ,True,0.040000000000000036,0.76,0.72,12,global,True
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510050.SH,True,0.04000000000000001,0.16,0.12,13,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510180.SH,True,0.039999999999999994,0.12,0.08,14,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512170.SH,True,0.039999999999999994,0.12,0.08,15,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159915.SZ,True,0.03,0.12,0.09,16,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159928.SZ,True,0.03,0.12,0.09,17,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,515220.SH,True,0.01999999999999999,0.12,0.1,18,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513100.SH,True,0.010000000000000009,0.4,0.39,19,global,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159796.SZ,True,0.009999999999999995,0.08,0.07,20,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159852.SZ,True,0.009999999999999995,0.08,0.07,21,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512200.SH,True,0.009999999999999995,0.08,0.07,22,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512890.SH,True,0.009999999999999995,0.08,0.07,23,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159870.SZ,True,0.0,0.08,0.08,24,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159967.SZ,True,0.0,0.08,0.08,25,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512660.SH,True,0.0,0.08,0.08,26,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513070.SH,True,0.0,1.0,1.0,27,hong_kong,True
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,518880.SH,True,0.0,0.72,0.72,28,commodity,True
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512400.SH,True,-0.009999999999999995,0.08,0.09,29,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159766.SZ,True,-0.010000000000000002,0.04,0.05,30,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159869.SZ,True,-0.010000000000000002,0.04,0.05,31,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159851.SZ,True,-0.019999999999999997,0.04,0.06,32,a_share,False
