method,training_period,holding_period,rank,code,group
rolling_random_best,2025-01-01/2025-06-30,2025-07-01/2025-12-31,6,512660.SH,a_share
rolling_random_best,2025-01-01/2025-06-30,2025-07-01/2025-12-31,7,513030.SH,global
rolling_random_best,2025-01-01/2025-06-30,2025-07-01/2025-12-31,8,513120.SH,hong_kong
rolling_random_best,2025-01-01/2025-06-30,2025-07-01/2025-12-31,9,513180.SH,hong_kong
rolling_random_best,2025-01-01/2025-06-30,2025-07-01/2025-12-31,10,513310.SH,global
rolling_random_best,2025-01-01/2025-06-30,2025-07-01/2025-12-31,11,513880.SH,global
rolling_random_best,2025-01-01/2025-06-30,2025-07-01/2025-12-31,12,518880.SH,commodity
rolling_random_best,2025-01-01/2025-06-30,2025-07-01/2025-12-31,13,563300.SH,a_share
rolling_random_best,2025-07-01/2025-12-31,2026-01-01/2026-06-30,1,159201.SZ,a_share
rolling_random_best,2025-07-01/2025-12-31,2026-01-01/2026-06-30,2,159509.SZ,global
rolling_random_best,2025-07-01/2025-12-31,2026-01-01/2026-06-30,3,159920.SZ,hong_kong
rolling_random_best,2025-07-01/2025-12-31,2026-01-01/2026-06-30,4,159980.SZ,commodity
rolling_random_best,2025-07-01/2025-12-31,2026-01-01/2026-06-30,5,159981.SZ,commodity
rolling_random_best,2025-07-01/2025-12-31,2026-01-01/2026-06-30,6,161226.SZ,commodity
rolling_random_best,2025-07-01/2025-12-31,2026-01-01/2026-06-30,7,512040.SH,a_share
rolling_random_best,2025-07-01/2025-12-31,2026-01-01/2026-06-30,8,512170.SH,a_share
rolling_random_best,2025-07-01/2025-12-31,2026-01-01/2026-06-30,9,513030.SH,global
rolling_random_best,2025-07-01/2025-12-31,2026-01-01/2026-06-30,10,513070.SH,hong_kong
rolling_random_best,2025-07-01/2025-12-31,2026-01-01/2026-06-30,11,513290.SH,global
rolling_random_best,2025-07-01/2025-12-31,2026-01-01/2026-06-30,12,513310.SH,global
rolling_random_best,2025-07-01/2025-12-31,2026-01-01/2026-06-30,13,518880.SH,commodity
rolling_random_best,2026-01-01/2026-06-30,2026-07-01/2026-07-26,1,159518.SZ,global
rolling_random_best,2026-01-01/2026-06-30,2026-07-01/2026-07-26,2,159869.SZ,a_share
rolling_random_best,2026-01-01/2026-06-30,2026-07-01/2026-07-26,3,159967.SZ,a_share
rolling_random_best,2026-01-01/2026-06-30,2026-07-01/2026-07-26,4,159980.SZ,commodity
rolling_random_best,2026-01-01/2026-06-30,2026-07-01/2026-07-26,5,159985.SZ,commodity
rolling_random_best,2026-01-01/2026-06-30,2026-07-01/2026-07-26,6,160644.SZ,global
rolling_random_best,2026-01-01/2026-06-30,2026-07-01/2026-07-26,7,161226.SZ,commodity
rolling_random_best,2026-01-01/2026-06-30,2026-07-01/2026-07-26,8,501018.SH,commodity
rolling_random_best,2026-01-01/2026-06-30,2026-07-01/2026-07-26,9,512040.SH,a_share
rolling_random_best,2026-01-01/2026-06-30,2026-07-01/2026-07-26,10,513180.SH,hong_kong
rolling_random_best,2026-01-01/2026-06-30,2026-07-01/2026-07-26,11,513400.SH,global
rolling_random_best,2026-01-01/2026-06-30,2026-07-01/2026-07-26,12,513500.SH,global
rolling_random_best,2026-01-01/2026-06-30,2026-07-01/2026-07-26,13,513750.SH,hong_kong
