method,training_year,holding_year,code,eligible,sampling_probability,rank,group,selected
rolling_cross_entropy,2021,2022,159920.SZ,True,0.07388787047597713,1,hong_kong,True
rolling_cross_entropy,2021,2022,513180.SH,True,0.07388787047597713,2,hong_kong,True
rolling_cross_entropy,2021,2022,159985.SZ,True,0.07380336973082065,3,commodity,True
rolling_cross_entropy,2021,2022,501018.SH,True,0.07371886898566415,4,commodity,True
rolling_cross_entropy,2021,2022,159981.SZ,True,0.07278415088477395,5,commodity,True
rolling_cross_entropy,2021,2022,159980.SZ,True,0.07238897327060931,6,commodity,True
rolling_cross_entropy,2021,2022,160644.SZ,True,0.07136975442456261,7,global,True
rolling_cross_entropy,2021,2022,513100.SH,True,0.06808964182313854,8,global,True
rolling_cross_entropy,2021,2022,588000.SH,True,0.049675111467578276,9,a_share,True
rolling_cross_entropy,2021,2022,164824.SZ,True,0.0486808910498264,10,global,True
rolling_cross_entropy,2021,2022,513500.SH,True,0.0461379077422102,11,global,True
rolling_cross_entropy,2021,2022,512200.SH,True,0.03131927523257563,12,a_share,True
rolling_cross_entropy,2021,2022,513030.SH,True,0.031168921140915157,13,global,False
rolling_cross_entropy,2021,2022,513080.SH,True,0.029670023935547334,14,global,False
rolling_cross_entropy,2021,2022,516150.SH,True,0.026966489212133824,15,a_share,True
rolling_cross_entropy,2021,2022,512880.SH,True,0.01838027624885831,16,a_share,False
rolling_cross_entropy,2021,2022,512170.SH,True,0.01603488174832444,17,a_share,False
rolling_cross_entropy,2021,2022,159851.SZ,True,0.014818074095195425,18,a_share,False
rolling_cross_entropy,2021,2022,159869.SZ,True,0.012018074095195425,19,a_share,False
rolling_cross_entropy,2021,2022,515210.SH,True,0.011176827804394239,20,a_share,False
rolling_cross_entropy,2021,2022,510210.SH,True,0.010846896536738478,21,a_share,False
rolling_cross_entropy,2021,2022,510300.SH,True,0.010846896536738478,22,a_share,False
rolling_cross_entropy,2021,2022,159852.SZ,True,0.00549854746797649,23,a_share,False
rolling_cross_entropy,2021,2022,510050.SH,True,0.0051686162003207305,24,a_share,False
rolling_cross_entropy,2021,2022,512660.SH,True,0.004657301177175303,25,a_share,False
rolling_cross_entropy,2021,2022,515790.SH,True,0.004403420580160377,26,a_share,False
rolling_cross_entropy,2021,2022,510180.SH,True,0.004327369909519543,27,a_share,False
rolling_cross_entropy,2021,2022,161226.SZ,True,0.0038022670591796627,28,commodity,False
rolling_cross_entropy,2021,2022,512040.SH,True,0.002444666870961564,29,a_share,False
rolling_cross_entropy,2021,2022,510880.SH,True,0.0023686162003207297,30,a_share,False
rolling_cross_entropy,2021,2022,513880.SH,True,0.0020263026674882684,31,global,False
rolling_cross_entropy,2021,2022,512980.SH,True,0.0019418019223317855,32,a_share,False
rolling_cross_entropy,2021,2022,518880.SH,True,0.0019418019223317855,33,commodity,False
rolling_cross_entropy,2021,2022,159865.SZ,True,0.0018573011771753026,34,a_share,False
rolling_cross_entropy,2021,2022,512400.SH,True,0.0017812505065344679,35,a_share,False
rolling_cross_entropy,2021,2022,515880.SH,True,0.0017812505065344679,36,a_share,False
rolling_cross_entropy,2021,2022,159825.SZ,True,0.0015273699095195424,37,a_share,False
rolling_cross_entropy,2021,2022,159870.SZ,True,0.0015273699095195424,38,a_share,False
rolling_cross_entropy,2021,2022,159901.SZ,True,0.0015273699095195424,39,a_share,False
rolling_cross_entropy,2021,2022,159915.SZ,True,0.0015273699095195424,40,a_share,False
rolling_cross_entropy,2021,2022,159928.SZ,True,0.0015273699095195424,41,a_share,False
rolling_cross_entropy,2021,2022,159949.SZ,True,0.0015273699095195424,42,a_share,False
rolling_cross_entropy,2021,2022,159967.SZ,True,0.0015273699095195424,43,a_share,False
rolling_cross_entropy,2021,2022,510500.SH,True,0.0015273699095195424,44,a_share,False
rolling_cross_entropy,2021,2022,512100.SH,True,0.0015273699095195424,45,a_share,False
rolling_cross_entropy,2021,2022,512800.SH,True,0.0015273699095195424,46,a_share,False
rolling_cross_entropy,2021,2022,512890.SH,True,0.0015273699095195424,47,a_share,False
rolling_cross_entropy,2021,2022,515220.SH,True,0.0015273699095195424,48,a_share,False
rolling_cross_entropy,2021,2022,159201.SZ,False,,,a_share,False
rolling_cross_entropy,2021,2022,159206.SZ,False,,,a_share,False
rolling_cross_entropy,2021,2022,159209.SZ,False,,,a_share,False
rolling_cross_entropy,2021,2022,159326.SZ,False,,,a_share,False
rolling_cross_entropy,2021,2022,159329.SZ,False,,,global,False
rolling_cross_entropy,2021,2022,159509.SZ,False,,,global,False
rolling_cross_entropy,2021,2022,159518.SZ,False,,,global,False
rolling_cross_entropy,2021,2022,159529.SZ,False,,,global,False
rolling_cross_entropy,2021,2022,159611.SZ,False,,,a_share,False
rolling_cross_entropy,2021,2022,159687.SZ,False,,,global,False
rolling_cross_entropy,2021,2022,159766.SZ,False,,,a_share,False
rolling_cross_entropy,2021,2022,159796.SZ,False,,,a_share,False
rolling_cross_entropy,2021,2022,513070.SH,False,,,hong_kong,False
rolling_cross_entropy,2021,2022,513120.SH,False,,,hong_kong,False
rolling_cross_entropy,2021,2022,513290.SH,False,,,global,False
rolling_cross_entropy,2021,2022,513310.SH,False,,,global,False
rolling_cross_entropy,2021,2022,513400.SH,False,,,global,False
rolling_cross_entropy,2021,2022,513730.SH,False,,,global,False
rolling_cross_entropy,2021,2022,513750.SH,False,,,hong_kong,False
rolling_cross_entropy,2021,2022,520870.SH,False,,,global,False
rolling_cross_entropy,2021,2022,562500.SH,False,,,a_share,False
rolling_cross_entropy,2021,2022,563300.SH,False,,,a_share,False
rolling_cross_entropy,2021,2022,588200.SH,False,,,a_share,False
rolling_cross_entropy,2021,2022,588220.SH,False,,,a_share,False
rolling_cross_entropy,2022,2023,159920.SZ,True,0.07322882403653,1,hong_kong,True
rolling_cross_entropy,2022,2023,164824.SZ,True,0.07322882403653,2,global,True
rolling_cross_entropy,2022,2023,513070.SH,True,0.07322882403653,3,hong_kong,True
rolling_cross_entropy,2022,2023,159985.SZ,True,0.07306132034376782,4,commodity,True
rolling_cross_entropy,2022,2023,501018.SH,True,0.07185472423027452,5,commodity,True
rolling_cross_entropy,2022,2023,513080.SH,True,0.06839486618920317,6,global,True
rolling_cross_entropy,2022,2023,159980.SZ,True,0.0627011610712156,7,commodity,True
rolling_cross_entropy,2022,2023,513880.SH,True,0.06188458338885393,8,global,True
rolling_cross_entropy,2022,2023,160644.SZ,True,0.05645779787550506,9,global,True
rolling_cross_entropy,2022,2023,510180.SH,True,0.048443113632444836,10,a_share,True
rolling_cross_entropy,2022,2023,159796.SZ,True,0.046281608152494914,11,a_share,True
rolling_cross_entropy,2022,2023,518880.SH,True,0.04423439510650641,12,commodity,True
rolling_cross_entropy,2022,2023,159981.SZ,True,0.04102579260457833,13,commodity,False
rolling_cross_entropy,2022,2023,513500.SH,True,0.029646473040744976,14,global,False
rolling_cross_entropy,2022,2023,159967.SZ,True,0.024020917747821773,15,a_share,True
rolling_cross_entropy,2022,2023,512890.SH,True,0.01956008262668218,16,a_share,False
rolling_cross_entropy,2022,2023,562500.SH,True,0.017779789185332382,17,a_share,False
rolling_cross_entropy,2022,2023,588000.SH,True,0.014607067390846034,18,a_share,False
rolling_cross_entropy,2022,2023,516150.SH,True,0.01435618243509382,19,a_share,False
rolling_cross_entropy,2022,2023,159852.SZ,True,0.01352113088870207,20,a_share,False
rolling_cross_entropy,2022,2023,159915.SZ,True,0.005904697094267362,21,a_share,False
rolling_cross_entropy,2022,2023,512100.SH,True,0.005458432339558274,22,a_share,False
rolling_cross_entropy,2022,2023,512170.SH,True,0.005458432339558274,23,a_share,False
rolling_cross_entropy,2022,2023,159851.SZ,True,0.0052075473838060615,24,a_share,False
rolling_cross_entropy,2022,2023,513030.SH,True,0.004372495837414309,25,global,False
rolling_cross_entropy,2022,2023,512880.SH,True,0.002595445058346263,26,a_share,False
rolling_cross_entropy,2022,2023,159865.SZ,True,0.0023445601025940507,27,a_share,False
rolling_cross_entropy,2022,2023,515220.SH,True,0.002114531235644397,28,a_share,False
rolling_cross_entropy,2022,2023,510210.SH,True,0.0017603935119545103,29,a_share,False
rolling_cross_entropy,2022,2023,512200.SH,True,0.0017603935119545103,30,a_share,False
rolling_cross_entropy,2022,2023,512400.SH,True,0.0017603935119545103,31,a_share,False
rolling_cross_entropy,2022,2023,513100.SH,True,0.0016686370643263751,32,global,False
rolling_cross_entropy,2022,2023,159928.SZ,True,0.001584885217945282,33,a_share,False
rolling_cross_entropy,2022,2023,159949.SZ,True,0.001584885217945282,34,a_share,False
rolling_cross_entropy,2022,2023,161226.SZ,True,0.001584885217945282,35,commodity,False
rolling_cross_entropy,2022,2023,510050.SH,True,0.001584885217945282,36,a_share,False
rolling_cross_entropy,2022,2023,512660.SH,True,0.001584885217945282,37,a_share,False
rolling_cross_entropy,2022,2023,159611.SZ,True,0.0015095085562022979,38,a_share,False
rolling_cross_entropy,2022,2023,159766.SZ,True,0.0015095085562022979,39,a_share,False
rolling_cross_entropy,2022,2023,159825.SZ,True,0.0015095085562022979,40,a_share,False
rolling_cross_entropy,2022,2023,159869.SZ,True,0.0015095085562022979,41,a_share,False
rolling_cross_entropy,2022,2023,159870.SZ,True,0.0015095085562022979,42,a_share,False
rolling_cross_entropy,2022,2023,159901.SZ,True,0.0015095085562022979,43,a_share,False
rolling_cross_entropy,2022,2023,510300.SH,True,0.0015095085562022979,44,a_share,False
rolling_cross_entropy,2022,2023,510500.SH,True,0.0015095085562022979,45,a_share,False
rolling_cross_entropy,2022,2023,510880.SH,True,0.0015095085562022979,46,a_share,False
rolling_cross_entropy,2022,2023,512040.SH,True,0.0015095085562022979,47,a_share,False
rolling_cross_entropy,2022,2023,512800.SH,True,0.0015095085562022979,48,a_share,False
rolling_cross_entropy,2022,2023,512980.SH,True,0.0015095085562022979,49,a_share,False
rolling_cross_entropy,2022,2023,513180.SH,True,0.0015095085562022979,50,hong_kong,False
rolling_cross_entropy,2022,2023,515210.SH,True,0.0015095085562022979,51,a_share,False
rolling_cross_entropy,2022,2023,515790.SH,True,0.0015095085562022979,52,a_share,False
rolling_cross_entropy,2022,2023,515880.SH,True,0.0015095085562022979,53,a_share,False
rolling_cross_entropy,2022,2023,159201.SZ,False,,,a_share,False
rolling_cross_entropy,2022,2023,159206.SZ,False,,,a_share,False
rolling_cross_entropy,2022,2023,159209.SZ,False,,,a_share,False
rolling_cross_entropy,2022,2023,159326.SZ,False,,,a_share,False
rolling_cross_entropy,2022,2023,159329.SZ,False,,,global,False
rolling_cross_entropy,2022,2023,159509.SZ,False,,,global,False
rolling_cross_entropy,2022,2023,159518.SZ,False,,,global,False
rolling_cross_entropy,2022,2023,159529.SZ,False,,,global,False
rolling_cross_entropy,2022,2023,159687.SZ,False,,,global,False
rolling_cross_entropy,2022,2023,513120.SH,False,,,hong_kong,False
rolling_cross_entropy,2022,2023,513290.SH,False,,,global,False
rolling_cross_entropy,2022,2023,513310.SH,False,,,global,False
rolling_cross_entropy,2022,2023,513400.SH,False,,,global,False
rolling_cross_entropy,2022,2023,513730.SH,False,,,global,False
rolling_cross_entropy,2022,2023,513750.SH,False,,,hong_kong,False
rolling_cross_entropy,2022,2023,520870.SH,False,,,global,False
rolling_cross_entropy,2022,2023,563300.SH,False,,,a_share,False
rolling_cross_entropy,2022,2023,588200.SH,False,,,a_share,False
rolling_cross_entropy,2022,2023,588220.SH,False,,,a_share,False
rolling_cross_entropy,2023,2024,159985.SZ,True,0.07148332290800878,1,commodity,True
rolling_cross_entropy,2023,2024,164824.SZ,True,0.06273257639851694,2,global,True
rolling_cross_entropy,2023,2024,159981.SZ,True,0.06245422588305303,3,commodity,True
rolling_cross_entropy,2023,2024,513100.SH,True,0.06237047403667194,4,global,True
rolling_cross_entropy,2023,2024,513180.SH,True,0.05828107271642505,5,hong_kong,True
rolling_cross_entropy,2023,2024,518880.SH,True,0.057800456336415854,6,commodity,True
rolling_cross_entropy,2023,2024,159920.SZ,True,0.05595518235540772,7,hong_kong,True
rolling_cross_entropy,2023,2024,501018.SH,True,0.05435917508894035,8,commodity,True
rolling_cross_entropy,2023,2024,513310.SH,True,0.05435917508894035,9,global,True
rolling_cross_entropy,2023,2024,515880.SH,True,0.05335661984978641,10,a_share,True
rolling_cross_entropy,2023,2024,513880.SH,True,0.05120391155239121,11,global,True
rolling_cross_entropy,2023,2024,159980.SZ,True,0.044967975702139576,12,commodity,False
rolling_cross_entropy,2023,2024,513120.SH,True,0.03190613422699739,13,hong_kong,False
rolling_cross_entropy,2023,2024,512100.SH,True,0.030960465754262895,14,a_share,True
rolling_cross_entropy,2023,2024,510300.SH,True,0.025239587006589896,15,a_share,True
rolling_cross_entropy,2023,2024,512200.SH,True,0.024551592519084373,16,a_share,False
rolling_cross_entropy,2023,2024,512800.SH,True,0.02203084698593445,17,a_share,False
rolling_cross_entropy,2023,2024,513080.SH,True,0.019011318351800716,18,global,False
rolling_cross_entropy,2023,2024,513030.SH,True,0.01528401939339884,19,global,False
rolling_cross_entropy,2023,2024,512880.SH,True,0.014643566516089912,20,a_share,False
rolling_cross_entropy,2023,2024,159687.SZ,True,0.013809742986678149,21,global,False
rolling_cross_entropy,2023,2024,510500.SH,True,0.011038481989610698,22,a_share,False
rolling_cross_entropy,2023,2024,159852.SZ,True,0.010787966525693173,23,a_share,False
rolling_cross_entropy,2023,2024,160644.SZ,True,0.010712589863950189,24,global,False
rolling_cross_entropy,2023,2024,512890.SH,True,0.008261703622013412,25,a_share,False
rolling_cross_entropy,2023,2024,510050.SH,True,0.005182524736382914,26,a_share,False
rolling_cross_entropy,2023,2024,515790.SH,True,0.005182524736382914,27,a_share,False
rolling_cross_entropy,2023,2024,159851.SZ,True,0.004682968517269768,28,a_share,False
rolling_cross_entropy,2023,2024,159949.SZ,True,0.004523840009145691,29,a_share,False
rolling_cross_entropy,2023,2024,513290.SH,True,0.004432453053352242,30,global,False
rolling_cross_entropy,2023,2024,515210.SH,True,0.00266177920323299,31,a_share,False
rolling_cross_entropy,2023,2024,512980.SH,True,0.002586402541490006,32,a_share,False
