method,training_year,holding_year,restart_count,accepted_moves,training_sharpe,codes
rolling_multi_start_hill,2021,2022,5,24,1.8228317486941006,159851.SZ|159865.SZ|159869.SZ|159920.SZ|159980.SZ|159981.SZ|159985.SZ|160644.SZ|164824.SZ|501018.SH|513030.SH|513100.SH|513180.SH
rolling_multi_start_hill,2022,2023,5,16,0.8129704576806738,159852.SZ|159920.SZ|159985.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|513070.SH|513080.SH|513500.SH|518880.SH|562500.SH|588000.SH
rolling_multi_start_hill,2023,2024,5,23,2.1220252173749783,159687.SZ|159865.SZ|159920.SZ|159981.SZ|159985.SZ|164824.SZ|501018.SH|512040.SH|513080.SH|513100.SH|513120.SH|515880.SH|518880.SH
rolling_multi_start_hill,2024,2025,5,27,2.0719140255586277,159518.SZ|159529.SZ|159870.SZ|159901.SZ|159981.SZ|161226.SZ|501018.SH|510180.SH|513070.SH|513100.SH|513120.SH|513730.SH|518880.SH
rolling_multi_start_hill,2025,2026,5,29,2.7445331792665013,159326.SZ|159985.SZ|161226.SZ|164824.SZ|501018.SH|510210.SH|513030.SH|513120.SH|513290.SH|513750.SH|513880.SH|515880.SH|518880.SH
