method,training_period,holding_period,code,eligible,ridge_coefficient,rank,group,selected
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159852.SZ,True,-0.4291905333630338,48,a_share,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,518880.SH,True,-0.508535047092972,49,commodity,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159201.SZ,False,,,a_share,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159206.SZ,False,,,a_share,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159209.SZ,False,,,a_share,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159326.SZ,False,,,a_share,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159329.SZ,False,,,global,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159509.SZ,False,,,global,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159518.SZ,False,,,global,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159529.SZ,False,,,global,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159611.SZ,False,,,a_share,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159687.SZ,False,,,global,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,159796.SZ,False,,,a_share,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513070.SH,False,,,hong_kong,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513120.SH,False,,,hong_kong,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513290.SH,False,,,global,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513310.SH,False,,,global,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513400.SH,False,,,global,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513730.SH,False,,,global,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,513750.SH,False,,,hong_kong,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,520870.SH,False,,,global,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,562500.SH,False,,,a_share,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,563300.SH,False,,,a_share,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,588200.SH,False,,,a_share,False
rolling_ridge_surrogate,2021-07-01/2021-12-31,2022-01-01/2022-06-30,588220.SH,False,,,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,501018.SH,True,0.48204209814792803,1,commodity,True
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,562500.SH,True,0.4100402743725624,2,a_share,True
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,515790.SH,True,0.3009967583407209,3,a_share,True
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512200.SH,True,0.2736933813201942,4,a_share,True
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159852.SZ,True,0.26892440812148216,5,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510180.SH,True,0.2574336668261436,6,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513500.SH,True,0.20101774668509378,7,global,True
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513180.SH,True,0.1927874725594357,8,hong_kong,True
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512170.SH,True,0.18792656268201569,9,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510050.SH,True,0.16472832305583937,10,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159967.SZ,True,0.1461205170993084,11,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513100.SH,True,0.14513106235114448,12,global,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159985.SZ,True,0.11780663631285032,13,commodity,True
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159611.SZ,True,0.1170330567834536,14,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,515880.SH,True,0.10503048827261158,15,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159915.SZ,True,0.0992939806733031,16,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,516150.SH,True,0.0954742687260188,17,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159901.SZ,True,0.07435505982792545,18,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510300.SH,True,0.04967873143340104,19,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159796.SZ,True,0.04836783394902421,20,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512880.SH,True,0.045076419554068756,21,a_share,False
